OTU	Domain	Supergroup	Phylum	Class	Order	Family	Genus	Species	MDBC01_rep	MDBC03_rep	MDBC04_rep	MDBC05_rep	MDBC06_rep	MDBC09_rep	MDBC11_rep	MDBC18_rep	MDBC21_rep	MDBC28_rep	MDBC29_rep	MDBC30_rep	MDBC32_rep	MDBC33_rep	MDBC34_rep	MDBC35_rep	MDBC36_rep	MDBC37_rep	MDBC38_rep	MDBC42_rep	MDBC44_rep	MDBC45_rep	MDBC46_rep	
526	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Schizochytrium	Schizochytrium minutum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	
527	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Sicyoidochytrium		0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	7	0	0	0	5	1	
528	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Sicyoidochytrium	Sicyoidochytrium minutum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
529	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Sicyoidochytrium	Thraustochytriidae sp. Fng1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
530	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Thraustochytrium		0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	
531	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Thraustochytrium	labyrinthulid quahog parasite QPX	0	0	0	0	0	0	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
532	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Thraustochytrium	Thraustochytriidae sp. KB 39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
533	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Thraustochytrium	Thraustochytriidae sp. SEK 683	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	3	0	0	0	0	0	0	0	
534	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Thraustochytrium	Thraustochytrium aff. striatum BAFCcult 3527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
535	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Thraustochytrium	Thraustochytrium gaertnerium	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
536	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Thraustochytrium	uncultured eukaryote	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
537	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae	Ulkenia	Ulkenia profunda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
538	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae			0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
539	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae		Thraustochytriidae sp. NK58	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	
540	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae		uncultured eukaryote	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
541	Eukaryota	SAR	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae		uncultured labyrinthulid	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	
542	Eukaryota	SAR	Bigyra	Labyrinthulea				uncultured labyrinthulid	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	52	4	1	0	0	19	
543	Eukaryota	SAR	Bigyra	Labyrinthulea				uncultured stramenopile	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	19	1	0	0	0	13	
544	Eukaryota	SAR	Bigyra	Labyrinthulea				uncultured	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	2	3	
546	Eukaryota	SAR	Bigyra	Labyrinthulea				uncultured labyrinthulid	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
547	Eukaryota	SAR	Bigyra	Labyrinthulea				uncultured marine eukaryote	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
548	Eukaryota	SAR	Bigyra	Labyrinthulea				uncultured stramenopile	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
549	Eukaryota	SAR	Stramenopiles	MAST-1					0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
550	Eukaryota	SAR	Stramenopiles	MAST-11					0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
551	Eukaryota	SAR	Stramenopiles	MAST-12					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	1	
552	Eukaryota	SAR	Stramenopiles	MAST-12		MAST-12A		uncultured stramenopile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
553	Eukaryota	SAR	Stramenopiles	MAST-12		MAST-12C			0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	2	0	5	
554	Eukaryota	SAR	Stramenopiles	MAST-12		MAST-12D			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
555	Eukaryota	SAR	Stramenopiles	MAST-3					0	2	0	0	0	0	24	2	1	6	0	0	0	0	0	2	0	93	0	0	6	0	16	
556	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3A		uncultured eukaryote	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
557	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3E		uncultured stramenopile	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
558	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3F			0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
559	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3F		uncultured marine stramenopile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
560	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3F		uncultured stramenopile	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
561	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3I			0	8	0	0	0	2	55	0	10	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
562	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3I		uncultured eukaryote	0	0	0	0	0	0	20	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
563	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3I		uncultured stramenopile	0	3	0	1	0	2	17	2	5	2	1	1	0	0	0	0	0	0	0	0	0	0	1	
564	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3J			0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	1	202	0	0	13	0	47	
565	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3J		eukaryote marine clone ME1-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	
566	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3J		uncultured eukaryote	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	92	1	0	3	0	22	
567	Eukaryota	SAR	Stramenopiles	MAST-3		MAST-3J		uncultured marine eukaryote	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	
568	Eukaryota	SAR	Stramenopiles	MAST-4					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	
569	Eukaryota	SAR	Stramenopiles	MAST-9					0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
570	Eukaryota	SAR	Stramenopiles	MAST-9				uncultured eukaryote	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
