ID	Description	percent_cnidarian	group
ko05231	Choline metabolism in cancer	NA	human
ko05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	NA	human
ko05322	Systemic lupus erythematosus	NA	human
ko05323	Rheumatoid arthritis	NA	human
ko05410	Hypertrophic cardiomyopathy	NA	human
ko05412	Arrhythmogenic right ventricular cardiomyopathy	NA	human
ko05414	Dilated cardiomyopathy	NA	human
ko05415	Diabetic cardiomyopathy	NA	human
ko05416	Viral myocarditis	NA	human
ko05417	Lipid and atherosclerosis	NA	human
ko05418	Fluid shear stress and atherosclerosis	NA	human
ko02020	Two-component system	NA	bacteria
