MDBC01	4.60	0.81	0.00	0.01	46871972
MDBC03	4.55	0.92	0.00	0.01	32288042
MDBC04	5.86	1.13	0.00	0.01	32553458
MDBC05	3.32	1.20	0.00	0.00	59391228
MDBC06	4.35	1.49	0.00	0.01	57680744
MDBC09	7.05	1.12	0.00	0.04	32114938
MDBC11	4.44	1.98	0.00	0.00	60583818
MDBC18	3.50	1.56	0.00	0.02	31354468
MDBC21	10.16	1.93	0.00	0.00	60710590
MDBC28	5.78	1.78	0.00	0.02	18873530
MDBC29	3.22	1.37	0.00	0.01	59623092
MDBC30	5.77	3.57	0.00	0.10	66228610
MDBC32	9.19	2.12	0.00	0.01	33168528
MDBC33	7.01	0.94	0.00	0.02	62633462
MDBC34	10.77	0.63	0.00	0.01	38733132
MDBC35	15.56	0.99	0.00	0.00	57177654
MDBC36	4.42	0.88	0.00	0.03	60543414
MDBC37	7.58	0.66	0.00	0.01	60844368
MDBC38	4.82	0.73	0.00	0.00	63119396
MDBC40	72.63	5.69	0.00	0.01	59986968
MDBC42	8.73	0.76	0.00	0.00	60255290
MDBC44	11.10	0.75	0.00	0.01	61614558
MDBC45	9.89	0.73	0.00	0.01	62107720
MDBC46	6.82	1.29	0.00	0.02	32748420
